"id","name"
"id","group_id","permission_id"
"id","name","content_type_id","codename"
"1","Can add log entry","1","add_logentry"
"2","Can change log entry","1","change_logentry"
"3","Can delete log entry","1","delete_logentry"
"4","Can view log entry","1","view_logentry"
"5","Can add permission","2","add_permission"
"6","Can change permission","2","change_permission"
"7","Can delete permission","2","delete_permission"
"8","Can view permission","2","view_permission"
"9","Can add group","3","add_group"
"10","Can change group","3","change_group"
"11","Can delete group","3","delete_group"
"12","Can view group","3","view_group"
"13","Can add user","4","add_user"
"14","Can change user","4","change_user"
"15","Can delete user","4","delete_user"
"16","Can view user","4","view_user"
"17","Can add content type","5","add_contenttype"
"18","Can change content type","5","change_contenttype"
"19","Can delete content type","5","delete_contenttype"
"20","Can view content type","5","view_contenttype"
"21","Can add session","6","add_session"
"22","Can change session","6","change_session"
"23","Can delete session","6","delete_session"
"24","Can view session","6","view_session"
"25","Can add reserva","7","add_reserva"
"26","Can change reserva","7","change_reserva"
"27","Can delete reserva","7","delete_reserva"
"28","Can view reserva","7","view_reserva"
"29","Can add doctores","8","add_doctores"
"30","Can change doctores","8","change_doctores"
"31","Can delete doctores","8","delete_doctores"
"32","Can view doctores","8","view_doctores"
"33","Can add departamentos","9","add_departamentos"
"34","Can change departamentos","9","change_departamentos"
"35","Can delete departamentos","9","delete_departamentos"
"36","Can view departamentos","9","view_departamentos"
"id","password","last_login","is_superuser","username","first_name","last_name","email","is_staff","is_active","date_joined"
"id","user_id","group_id"
"id","user_id","permission_id"
"id","action_time","object_id","object_repr","action_flag","change_message","content_type_id","user_id"
"id","app_label","model"
"1","admin","logentry"
"3","auth","group"
"2","auth","permission"
"4","auth","user"
"5","contenttypes","contenttype"
"9","GlobalMed","departamentos"
"8","GlobalMed","doctores"
"7","GlobalMed","reserva"
"6","sessions","session"
"id","app","name","applied"
"1","GlobalMed","0001_initial","2023-11-13 00:18:15.689931"
"2","GlobalMed","0002_doctores_alter_reserva_comentario_and_more","2023-11-13 00:18:15.709346"
"3","GlobalMed","0003_departamentos_remove_doctores_departamento_and_more","2023-11-13 00:18:15.742692"
"4","contenttypes","0001_initial","2023-11-13 00:18:15.762358"
"5","auth","0001_initial","2023-11-13 00:18:16.038341"
"6","admin","0001_initial","2023-11-13 00:18:16.091275"
"7","admin","0002_logentry_remove_auto_add","2023-11-13 00:18:16.102792"
"8","admin","0003_logentry_add_action_flag_choices","2023-11-13 00:18:16.116787"
"9","contenttypes","0002_remove_content_type_name","2023-11-13 00:18:16.158049"
"10","auth","0002_alter_permission_name_max_length","2023-11-13 00:18:16.189831"
"11","auth","0003_alter_user_email_max_length","2023-11-13 00:18:16.226094"
"12","auth","0004_alter_user_username_opts","2023-11-13 00:18:16.270738"
"13","auth","0005_alter_user_last_login_null","2023-11-13 00:18:16.292945"
"14","auth","0006_require_contenttypes_0002","2023-11-13 00:18:16.297549"
"15","auth","0007_alter_validators_add_error_messages","2023-11-13 00:18:16.307300"
"16","auth","0008_alter_user_username_max_length","2023-11-13 00:18:16.328031"
"17","auth","0009_alter_user_last_name_max_length","2023-11-13 00:18:16.346968"
"18","auth","0010_alter_group_name_max_length","2023-11-13 00:18:16.365304"
"19","auth","0011_update_proxy_permissions","2023-11-13 00:18:16.380276"
"20","auth","0012_alter_user_first_name_max_length","2023-11-13 00:18:16.397763"
"21","sessions","0001_initial","2023-11-13 00:18:16.418346"
"22","GlobalMed","0004_remove_reserva_departamento_remove_reserva_doctor_and_more","2023-11-14 02:18:45.389249"
"23","GlobalMed","0005_rename_id_departamento_reserva_departamento_and_more","2023-11-14 02:59:32.631647"
"session_key","session_data","expire_date"
"id","nombre_dep"
"1","Med. General"
"2","Ginecología"
"3","Traumatología"
"4","Pediatría"
"id","nombre","id_dep"
"1","Juan Perez","1"
"2","Pedro Malo","3"
"3","Pedro Bueno","2"
"4","Jacinta Flores","4"
"5","Santa Navidad","1"
"6","Nicolas Nochebuena","4"
"idreserva","nombre","correo","fecha","hora","comentario","departamento","doctor"
"7","Val","jevair@hotmail.com","2023-11-15","08:00","f","2","1"
"8","Val","jevair@hotmail.com","2023-11-15","08:00","f","2","1"
"9","V","jevair@hotmail.com","2023-11-08","08:00",,"2","1"
"11","Valeria","jeva@hotmail.com","2023-11-16","08:00",,"2","2"
"12","Val","je@gmail.com","2023-11-15","08:00",,"2","2"
"13","Carlos","ca@gmail.com","2023-11-22","10:00",,"2","1"
"14","Carlos","ca@gmail.com","2023-11-22","10:00",,"2","1"
"15","Vale","vale@gmail.com","2023-11-15","14:00","reserva mia","1","1"
